FACILITY_ID,ON_GRID_AVL,MIN_AIR_2015,MIN_AIR_2016,MIN_GROUND_2015,MIN_GROUND_2016,URBAN,ON_GRID,EA,SOLAR_INC,SOLAR_ONL,DIESEL_INC,DIESEL_ONL,FACILITY_TYPE,cluster
2112003,0,9.3114338,9.3114338,4.8505015,13.136294,0,1,0,0,0,0,0,1,0
2112004,0,6.2984896,8.6528502,6.2984896,6.2984896,0,1,0,0,0,0,0,2,0
2112005,0,12.032156,0.66266465,0.66266465,12.032156,0,1,0,0,0,0,0,3,0
2112006,0,15.506561,4.5144272,4.5144272,15.506561,0,1,0,0,0,0,0,1,0
2112007,0,14.415369,4.4145498,4.4145498,14.415369,0,1,0,0,0,0,0,1,0
2112008,0,6.1967211,9.722641,6.1967211,6.1967211,0,1,0,0,0,0,0,1,0
2112009,0,11.877158,11.877158,11.877158,11.877158,0,0,0,0,0,0,0,1,6
2112010,0,14.243345,14.243345,14.243345,14.243345,0,0,0,0,0,0,0,1,6
2112011,0,0.34114146,11.895588,0.34114146,0.34114146,1,1,0,0,0,0,0,3,2
2112012,0,4.1077447,14.613513,4.1077447,4.1077447,1,1,0,0,0,0,0,3,2
2113001,0,8.0290947,8.4032764,8.4032764,8.4032764,0,1,0,0,0,0,0,1,0
2113003,0,9.1457748,12.560277,0.39195061,12.560277,0,0,0,0,0,0,0,1,6
2113004,0,9.666832,12.974071,1.4830533,12.974071,0,1,0,0,0,0,0,1,0
2113006,0,2.7135465,3.9002221,3.9002221,3.9002221,0,1,0,0,0,0,0,1,0
2113007,0,7.3269997,7.3269997,7.3269997,7.3269997,0,1,0,0,0,0,0,1,0
2113008,0,9.2714691,10.222947,10.222947,10.222947,0,1,0,0,0,0,0,1,0
2113009,0,10.871219,11.419063,9.3599482,10.871219,0,1,0,0,0,0,0,1,0
2113011,0,0.1958731,0.1958731,0.1958731,0.1958731,1,1,1,1,0,0,0,3,2
2113014,0,12.769155,14.34106,3.0637867,14.34106,0,1,0,0,0,0,0,1,0
2113015,0,16.174774,17.450993,7.1166315,17.450993,0,1,0,0,0,0,0,1,0
2114001,0,0.21841711,0.21841711,0.21841711,19.126148,0,1,0,0,0,0,0,1,0
2114002,0,1.1479553,1.1479553,1.1479553,19.170345,1,1,1,1,0,0,0,3,2
2114003,0,15.442005,9.7044268,15.442005,7.6244841,0,1,1,1,0,0,0,2,0
2114004,0,5.7020612,17.919626,17.919626,30.189203,0,0,1,1,1,0,0,2,1
2114005,0,10.957745,23.117039,23.117039,24.414202,0,1,1,1,0,0,0,1,0
2114006,0,12.337353,17.807516,17.807516,17.807516,0,1,0,0,0,0,0,1,0
