PC 1,PC 2,cluster
-0.178,-1.008,1
-0.167,-1.01,1
-0.12,-1.004,1
-0.142,-1.006,1
-0.149,-1.008,1
-0.24,-1.014,1
-0.271,-0.386,1
-0.199,-1.008,1
-0.16,-1.007,1
-0.143,-1.006,1
-0.196,-1.007,1
-0.407,-0.385,1
-0.151,-1.006,1
-0.225,-1.011,1
-0.35,-0.385,1
-0.349,-1.016,1
-0.188,-1.008,1
-0.224,-1.01,1
-0.175,-1.01,1
-0.242,-1.013,1
-0.272,-1.013,1
-0.129,-1.003,1
-0.316,-1.013,1
-0.677,-1.029,1
-0.302,-1.009,1
-0.416,-1.013,1
-0.684,-0.397,1
-0.611,-1.026,1
-0.274,-1.01,1
-0.293,-1.008,1
-0.387,-1.011,1
-0.378,-1.014,1
-0.56,-1.023,1
-0.549,-1.02,1
-0.273,-1.008,1
-0.375,-1.01,1
-0.433,-1.015,1
-0.341,-1.013,1
-0.246,-1.011,1
-0.186,-1.01,1
-0.153,-1.009,1
-0.222,-1.008,1
-0.107,-0.995,1
-0.068,-0.993,1
0.081,-0.985,1
-0.017,-0.991,1
-0.501,-0.388,1
-0.546,-1.022,1
-0.565,-1.023,1
-0.399,-1.014,1
-0.567,-1.024,1
-0.451,-1.017,1
-0.583,-1.024,1
-0.744,-0.403,1
-0.561,-1.023,1
-0.568,-0.393,1
-0.398,-1.015,1
-0.579,-1.024,1
-0.528,-1.022,1
-0.597,-1.026,1
-0.253,-1.007,1
-0.452,-1.016,1
-0.523,-1.019,1
0.021,-0.988,1
-0.704,-1.031,1
-0.024,-0.993,1
-0.352,-1.012,1
-0.234,-1.004,1
-0.634,-0.399,1
-0.615,-1.027,1
-0.541,-1.025,1
-0.575,-1.027,1
-0.095,-1.002,1
-0.303,-1.014,1
-0.103,-1.006,1
-0.149,-1.01,1
-0.126,-1.008,1
-0.394,-0.387,1
-0.383,-0.385,1
-0.46,-0.389,1
-0.332,-0.383,1
-0.546,-1.025,1
-0.585,-1.026,1
-0.71,-1.032,1
-0.806,-0.406,1
-0.588,-1.027,1
-0.372,-1.016,1
-0.437,-1.02,1
-0.499,-1.023,1
-0.52,-1.023,1
-0.711,-1.032,1
-0.674,-1.03,1
-0.643,-1.029,1
-0.723,-1.032,1
-0.671,-1.03,1
-0.664,-1.031,1
-0.643,-1.029,1
-0.596,-1.026,1
-0.573,-1.026,1
-0.555,-1.024,1
-0.675,-0.4,1
-0.606,-1.028,1
-0.59,-1.027,1
-0.566,-1.024,1
-0.286,-1.012,1
-0.222,-1.01,1
-0.399,-1.022,1
-0.316,-1.013,1
-0.331,-1.014,1
-0.152,-1.008,1
-0.501,-1.022,1
-0.71,-1.031,1
-0.577,-1.026,1
-0.598,-0.394,1
-0.594,-1.027,1
-0.597,-1.026,1
-0.512,-1.022,1
-0.726,-0.404,1
-0.545,-1.025,1
-0.511,-0.393,1
-0.485,-1.022,1
-0.375,-1.017,1
-0.542,-1.024,1
-0.609,-0.396,1
-0.246,-1.009,1
-0.381,-0.386,1
-0.427,-1.02,1
-0.565,-1.025,1
-0.645,-1.029,1
-0.582,-1.029,1
-0.384,-1.015,1
-0.19,-1.011,1
-0.558,-1.025,1
-0.379,-1.014,1
-0.247,-1.008,1
-0.448,-0.387,1
-0.614,-0.395,1
-0.44,-1.017,1
-0.422,-1.015,1
-0.746,-1.034,1
-0.508,-1.021,1
-0.284,-1.006,1
-0.482,-1.022,1
-0.536,-1.021,1
-0.268,-1.007,1
-0.611,-1.025,1
-0.559,-1.027,1
-0.578,-1.027,1
-0.698,-0.4,1
-0.432,-1.019,1
-0.6,-1.027,1
-0.713,-1.032,1
-0.681,-1.031,1
2.219,-0.875,1
1.732,-0.902,1
1.38,-0.919,1
1.137,-0.937,1
2.131,-0.885,1
1.946,-0.895,1
2.319,-0.874,1
2.424,-0.87,1
2.373,-0.876,1
2.174,-0.892,1
-0.687,-1.031,1
-0.462,-1.018,1
-0.238,-1.004,1
-0.338,-1.016,1
-0.502,-1.024,1
-0.54,-1.026,1
-0.392,-1.014,1
2.056,-0.884,1
2.525,-0.86,1
1.409,-0.922,1
2.705,-0.848,1
-0.489,-1.019,1
-0.573,-0.391,1
-0.39,-0.383,1
-0.038,-0.998,1
-0.08,-1.001,1
