FACILITY_ID;GOV;DISTRICT;FACILITY_TYPE;URBAN;MIN_AIR_2015;MIN_AIR_2016;MIN_GROUND_2015;MIN_GROUND_2016;ON_GRID;ON_GRID_AVL;SOLAR_ONL;SOLAR_INC;DIESEL_ONL;DIESEL_INC;cluster
2001011;Dhamar;Al Hada;1;0;11;17;11;16;1;0;0;0;0;0;0
2918013;Amran;Iyal Surayh;2;0;2;2;18;2;1;0;0;0;0;0;0
2202002;Sa'adah;Qitabir;1;0;3;3;19;14;0;0;0;0;0;0;6
2707011;Al-Mahweet;Bani Sa'd;1;0;12;12;19;39;0;0;0;0;0;0;6
1107015;Ibb;Al Makhadir;2;0;3;8;6;13;1;0;0;0;0;0;0
2117002;Shabwa;Rodhoom;1;0;19;19;27;27;1;0;0;0;0;0;0
2502001;Lahj;Yafa'a;3;0;29;4;15;4;1;0;0;0;0;0;0
1108017;Ibb;Hubaysh;2;0;4;11;5;5;0;0;0;0;0;0;6
1101001;Ibb;Al Qafr;2;0;15;22;15;20;0;0;0;0;0;0;6
1414004;Al-baida;Al Quraishyah;1;0;1;2;1;4;0;0;0;0;0;0;6
2907008;Amran;Sauwayr;1;0;8;10;15;25;0;0;0;0;0;0;6
1107018;Ibb;Al Makhadir;1;0;4;8;4;8;1;0;0;0;0;0;0
1805008;Al-Hodaida;Al Munirah;2;0;13;15;15;59;0;0;0;0;0;1;4
1204020;Abyan;Lawder;1;0;14;16;14;10;1;0;0;0;0;0;0
2703019;Al-Mahweet;Ar Rujum;1;0;9;9;9;18;0;0;0;0;0;0;6
2115011;Shabwa;Ar-rawdah;1;0;19;10;26;10;0;0;0;0;0;0;6
2001017;Dhamar;Al Hada;2;0;7;14;14;14;1;0;0;0;0;0;0
1504004;Taiz;Sharab Ar Rawnah;2;0;8;4;8;5;1;0;0;1;0;0;0
2007022;Dhamar;Wusab As Safil;2;0;23;31;27;41;0;0;0;0;0;1;4
1109008;Ibb;Hazm Al Udayn;1;0;6;15;5;3;0;0;0;0;0;0;6
2906012;Amran;Al Madan;1;0;2;12;18;18;0;0;0;0;0;0;6
1501011;Taiz;Mawiyah;1;0;8;8;8;3;0;0;0;0;0;0;6
2107008;Shabwa;Baihan;1;0;9;9;9;19;1;0;0;0;0;0;0
1716001;Hajjah;Al Miftah;1;0;5;5;24;10;0;0;0;0;0;0;6
2909002;Amran;Dhi Bin;1;0;14;0;17;29;1;0;0;0;0;0;0
1509010;Taiz;Jabal Habasi;1;0;8;2;6;2;0;0;0;0;0;0;6
1505008;Taiz;Maqbanah;1;0;3;3;3;3;0;0;0;0;0;0;6
1517006;Taiz;Haifan;1;0;4;4;4;1;0;0;0;0;0;0;6
2011018;Dhamar;Dawran Aness;1;0;13;6;17;28;0;0;0;0;0;0;6
3005009;Al-Dhala;Al Hussein;1;0;12;17;9;7;1;0;0;0;0;0;0
1806010;Al-Hodaida;Al Qanawis;1;0;9;9;14;34;0;0;0;0;0;0;6
2207001;Sa'adah;Adh Dhahir;1;0;0;0;0;6;0;0;0;0;0;0;6
3106015;Rimah;Mazhar;1;0;6;15;15;15;0;0;0;0;0;0;6
1417006;Al-baida;Sabah;1;0;6;7;6;15;0;0;0;0;0;0;6
1826005;Al-Hodaida;At Tahita;1;0;5;5;26;23;0;0;0;0;0;0;6
3102011;Rimah;Al Jabin;1;0;8;17;9;41;0;0;0;0;0;0;6
2512003;Lahj;Al Maqatirah;1;0;10;3;7;1;1;0;0;0;0;0;0
1104019;Ibb;An Nadirah;2;0;10;11;11;8;0;0;0;0;0;0;6
2901007;Amran;Harf Sufyan;1;0;2;2;2;3;0;0;0;0;0;0;6
2310018;Sana'a;Manakha;1;0;6;7;35;39;1;0;0;0;0;0;0
2002004;Dhamar;Jahran;2;0;7;11;11;15;0;0;0;1;0;0;0
1119003;Ibb;Ad dihar;2;0;3;6;3;8;1;0;0;0;0;0;0
2515002;Lahj;Tuban;1;0;0;5;7;7;1;0;0;0;0;0;0
1802018;Al-Hodaida;Alluhaiyah;1;0;18;11;11;22;0;0;0;0;0;0;6
1810003;Al-Hodaida;Bajil;1;0;10;10;10;37;0;0;0;0;0;0;6
1412003;Al-baida;Radman Al Awad;1;0;11;3;11;9;0;0;0;0;0;0;6
1415006;Al-baida;Wald Rabi'a;1;0;8;9;3;0;0;0;0;0;0;0;6
1112002;Ibb;Jiblah;2;0;7;9;7;7;1;0;0;0;0;0;0
1515003;Taiz;As Shims'yatayan;1;0;10;15;7;6;0;0;0;0;0;0;6
1415003;Al-baida;Wald Rabi'a;1;0;23;7;7;7;0;0;0;0;0;0;6
3003022;Al-Dhala;Qa'atabah;1;0;11;13;13;11;0;0;0;0;0;0;6
